Hito,Fase,Mes,Entregable,Fecha objetivo,Criterio de aceptacion,Responsable,Estado,Evidencia
H1,Fase 0 - Descubrimiento,Semana 2,Plan maestro de 12 meses + informe de auditoria,2026-09-11,Documento de estrategia y calendario aprobados por escrito + 100% de accesos entregados,Nuvaus / Direccion,Planificado,
H1.1,Fase 0 - Descubrimiento,Semana 1,Kickoff realizado (90 min),2026-09-02,Acta con objetivos prestaciones prioritarias y definicion de lead valido,Ambos,Planificado,
H1.2,Fase 0 - Descubrimiento,Semana 1,Traspaso de accesos completo,2026-09-04,Dominio hosting redes GBP GA4 y sistema de agenda entregados,Clinica,Planificado,
H1.3,Fase 0 - Descubrimiento,Semana 2,Manual de marca express,2026-09-11,Paleta tipografias y tono aprobados,Nuvaus,Planificado,
H2,Fase 1 - Fundaciones,Mes 2,Sitio publicado y medicion al 100%,2026-10-31,Lighthouse movil >=85 rendimiento y >=95 SEO + 5 eventos de conversion validados en GA4 y Meta + dashboard accesible,Nuvaus,Planificado,
H2.1,Fase 1 - Fundaciones,Mes 1,Diseno del sitio aprobado,2026-09-30,Maquetas de todas las paginas aprobadas por la direccion,Nuvaus / Direccion,Planificado,
H2.2,Fase 1 - Fundaciones,Mes 1,GTM GA4 Pixel y CAPI instalados,2026-09-30,Eventos disparando correctamente en modo depuracion,Nuvaus,Planificado,
H2.3,Fase 1 - Fundaciones,Mes 2,SEO tecnico metadatos y schema.org,2026-10-31,Titles descriptions canonical sitemap robots OG y datos estructurados validados sin errores,Nuvaus,Planificado,
H2.4,Fase 1 - Fundaciones,Mes 2,Google Business Profile optimizado,2026-10-31,Ficha completa con fotos horarios servicios y flujo de resenas activo,Nuvaus,Planificado,
H2.5,Fase 1 - Fundaciones,Mes 2,Primera jornada de produccion,2026-10-31,Banco de contenido con material para 4-6 semanas,Nuvaus / Equipo medico,Planificado,
H3,Fase 2 - Motor y campanas,Mes 3,Primera campana en aire con costo por lead medido,2026-11-30,Atribucion completa desde el anuncio hasta la solicitud de hora,Nuvaus,Planificado,
H3.1,Fase 2 - Motor y campanas,Mes 3,Protocolo de atencion de leads acordado,2026-11-30,Guion de respuesta y meta de 15 min acordados con recepcion,Clinica,Planificado,
H3.2,Fase 2 - Motor y campanas,Mes 4,Landing pages de las 2 prestaciones estrella,2026-12-31,Landings publicadas con medicion propia,Nuvaus,Planificado,
H4,Fase 2 - Motor y campanas,Mes 5,Costo por lead de referencia y volumen base,2027-01-31,Meta de leads del mes 5 alcanzada o plan de correccion aprobado + metas del punto 6 recalibradas con data real,Nuvaus / Direccion,Planificado,
H5,Fase 3 - Escalar,Mes 6,Revision semestral y decision de continuidad,2027-02-28,Informe semestral presentado y plan del semestre 2 aprobado,Ambos,Planificado,
H5.1,Fase 3 - Escalar,Mes 7,Campana de reactivacion de base de pacientes,2027-03-31,Campana ejecutada con resultados medidos,Nuvaus,Planificado,
H5.2,Fase 3 - Escalar,Mes 8,Pruebas A/B en landings y creativos,2027-04-30,Minimo 4 pruebas concluidas con ganador documentado,Nuvaus,Planificado,
H6,Fase 3 - Escalar,Mes 9,Costo por lead reducido >=30% vs mes 5,2027-05-31,Comparativo documentado mes 5 vs mes 9 sobre la misma definicion de lead,Nuvaus,Planificado,
H7.1,Fase 4 - Consolidar,Mes 10,Automatizaciones de recordatorio y reduccion de no-show,2027-06-30,Flujo activo y tasa de no-show medida antes y despues,Nuvaus,Planificado,
H7.2,Fase 4 - Consolidar,Mes 11,Acciones de autoridad de marca,2027-07-31,Minimo 2 acciones ejecutadas (prensa alianza o colaboracion),Nuvaus,Planificado,
H7,Fase 4 - Consolidar,Mes 12,Informe anual y plan ano 2 aprobado,2027-08-31,Informe con las 8 metricas comparadas contra linea base + propuesta ano 2 presentada,Nuvaus / Direccion,Planificado,
QBR1,Gobernanza,Mes 3,Revision estrategica trimestre 1,2026-11-30,Reunion realizada y plan del trimestre 2 acordado,Ambos,Planificado,
QBR2,Gobernanza,Mes 6,Revision estrategica trimestre 2,2027-02-28,Reunion realizada y plan del trimestre 3 acordado,Ambos,Planificado,
QBR3,Gobernanza,Mes 9,Revision estrategica trimestre 3,2027-05-31,Reunion realizada y plan del trimestre 4 acordado,Ambos,Planificado,
QBR4,Gobernanza,Mes 12,Revision estrategica anual,2027-08-31,Reunion realizada y plan ano 2 acordado,Ambos,Planificado,
